topic,date,avg_sentiment,frequency
⌛ CONTATTO/ATTESA,2015-01,0,7
⌛ CONTATTO/ATTESA,2015-02,0,3
⌛ CONTATTO/ATTESA,2015-03,0,7
⌛ CONTATTO/ATTESA,2015-04,0.12499999999999999,12
⌛ CONTATTO/ATTESA,2015-05,0.15217391304347827,23
⌛ CONTATTO/ATTESA,2015-06,0.16666666666666669,15
⌛ CONTATTO/ATTESA,2017-01,0.11165048543689325,206
⌛ CONTATTO/ATTESA,2017-02,0.041666666666666664,48
⌛ CONTATTO/ATTESA,2017-03,0.04761904761904763,42
⌛ CONTATTO/ATTESA,2017-04,0.016129032258064516,31
⌛ CONTATTO/ATTESA,2017-05,0.034482758620689669,29
⌛ CONTATTO/ATTESA,2017-06,0.071428571428571438,28
⌛ CONTATTO/ATTESA,2017-07,0.10000000000000002,25
⌛ CONTATTO/ATTESA,2017-08,0.21052631578947367,19
⌛ CONTATTO/ATTESA,2017-09,0.24,25
⌛ CONTATTO/ATTESA,2017-10,0.18000000000000002,25
⌛ CONTATTO/ATTESA,2017-11,0.10000000000000002,35
⌛ CONTATTO/ATTESA,2017-12,0.16666666666666669,36
⌛ CONTATTO/ATTESA,2018-01,0.089743589743589758,39
⌛ CONTATTO/ATTESA,2018-02,0.13636363636363638,33
⌛ CONTATTO/ATTESA,2018-03,0,43
⌛ CONTATTO/ATTESA,2018-04,0,18
⌛ CONTATTO/ATTESA,2018-05,0.12,25
⌛ CONTATTO/ATTESA,2018-06,0.10606060606060609,33
⌛ CONTATTO/ATTESA,2018-07,0.099999999999999992,25
⌛ CONTATTO/ATTESA,2018-08,0,17
⌛ CONTATTO/ATTESA,2018-09,0.062500000000000014,16
⌛ CONTATTO/ATTESA,2018-10,0.1111111111111111,36
⌛ CONTATTO/ATTESA,2018-11,0.07857142857142857,70
⌛ CONTATTO/ATTESA,2018-12,0.13194444444444442,72
⌛ CONTATTO/ATTESA,2019-01,0.11363636363636366,88
⌛ CONTATTO/ATTESA,2019-02,0.11538461538461543,78
⌛ CONTATTO/ATTESA,2019-03,0.11904761904761907,42
⌛ CONTATTO/ATTESA,2019-04,0.15789473684210528,38
⌛ CONTATTO/ATTESA,2019-05,0.12745098039215685,51
⌛ CONTATTO/ATTESA,2019-06,0.083333333333333343,42
⌛ CONTATTO/ATTESA,2019-07,0.10000000000000002,50
⌛ CONTATTO/ATTESA,2019-08,0.14516129032258063,31
⌛ CONTATTO/ATTESA,2019-09,0.06666666666666668,30
⌛ CONTATTO/ATTESA,2019-10,0.07407407407407407,54
⌛ CONTATTO/ATTESA,2019-11,0.11194029850746273,67
⌛ CONTATTO/ATTESA,2019-12,0.10483870967741936,62
⌛ CONTATTO/ATTESA,2020-01,0.070175438596491238,57
⌛ CONTATTO/ATTESA,2020-02,0.10227272727272731,44
⌛ CONTATTO/ATTESA,2020-03,0.11666666666666667,30
⌛ CONTATTO/ATTESA,2020-04,0.068181818181818177,22
⌛ CONTATTO/ATTESA,2020-05,0.1153846153846154,39
⌛ CONTATTO/ATTESA,2020-06,0.20454545454545456,44
⌛ CONTATTO/ATTESA,2020-07,0.23333333333333334,30
⌛ CONTATTO/ATTESA,2020-08,0.20833333333333331,24
⌛ CONTATTO/ATTESA,2020-09,0.17500000000000004,40
⌛ CONTATTO/ATTESA,2020-11,0.062500000000000028,24
⌛ CONTATTO/ATTESA,2020-12,0.18518518518518517,27
⌛ CONTATTO/ATTESA,2021-01,0.18493150684931509,73
⌛ CONTATTO/ATTESA,2021-02,0.24242424242424246,99
⌛ CONTATTO/ATTESA,2021-03,0.20967741935483872,93
⏱️ APPUNTAMENTO,2015-01,0.1,5
⏱️ APPUNTAMENTO,2015-02,0.16666666666666669,3
⏱️ APPUNTAMENTO,2015-03,0,9
⏱️ APPUNTAMENTO,2015-04,0.099999999999999992,10
⏱️ APPUNTAMENTO,2015-05,0.15625,16
⏱️ APPUNTAMENTO,2015-06,0.27777777777777779,9
⏱️ APPUNTAMENTO,2015-07,0,1
⏱️ APPUNTAMENTO,2017-01,0.13690476190476186,168
⏱️ APPUNTAMENTO,2017-02,0.10204081632653063,49
⏱️ APPUNTAMENTO,2017-03,0.0888888888888889,45
⏱️ APPUNTAMENTO,2017-04,0.089743589743589772,39
⏱️ APPUNTAMENTO,2017-05,0.13157894736842102,57
⏱️ APPUNTAMENTO,2017-06,0.19696969696969696,33
⏱️ APPUNTAMENTO,2017-07,0.17187500000000003,32
⏱️ APPUNTAMENTO,2017-08,0.15384615384615385,26
⏱️ APPUNTAMENTO,2017-09,0.070000000000000021,50
⏱️ APPUNTAMENTO,2017-10,0.22222222222222224,36
⏱️ APPUNTAMENTO,2017-11,0.062499999999999993,40
⏱️ APPUNTAMENTO,2017-12,0.1944444444444445,36
⏱️ APPUNTAMENTO,2018-01,0.10204081632653063,49
⏱️ APPUNTAMENTO,2018-02,0.087500000000000008,40
⏱️ APPUNTAMENTO,2018-03,0.12244897959183679,49
⏱️ APPUNTAMENTO,2018-04,0.074074074074074084,27
⏱️ APPUNTAMENTO,2018-05,0.10810810810810816,37
⏱️ APPUNTAMENTO,2018-06,0.092592592592592615,27
⏱️ APPUNTAMENTO,2018-07,0.18333333333333332,30
⏱️ APPUNTAMENTO,2018-08,0.13461538461538466,26
⏱️ APPUNTAMENTO,2018-09,0.041666666666666671,24
⏱️ APPUNTAMENTO,2018-10,0.13636363636363633,44
⏱️ APPUNTAMENTO,2018-11,0.10655737704918035,61
⏱️ APPUNTAMENTO,2018-12,0.1277777777777778,90
⏱️ APPUNTAMENTO,2019-01,0.12345679012345681,81
⏱️ APPUNTAMENTO,2019-02,0.132183908045977,87
⏱️ APPUNTAMENTO,2019-03,0.083333333333333343,60
⏱️ APPUNTAMENTO,2019-04,0.11403508771929827,57
⏱️ APPUNTAMENTO,2019-05,0.15217391304347833,69
⏱️ APPUNTAMENTO,2019-06,0.097826086956521743,46
⏱️ APPUNTAMENTO,2019-07,0.12244897959183673,49
⏱️ APPUNTAMENTO,2019-08,0.19148936170212763,47
⏱️ APPUNTAMENTO,2019-09,0.19642857142857145,56
⏱️ APPUNTAMENTO,2019-10,0.11194029850746272,67
⏱️ APPUNTAMENTO,2019-11,0.19512195121951223,82
⏱️ APPUNTAMENTO,2019-12,0.0955882352941177,68
